№;Наименование;Регистрационный номер;Наименование на английском;Краткое наименование;Дата регистрации;Возраст компании, лет;Код налогоплательщика;Вид деятельности/отрасль;Организационно-правовая форма;Форма собственности;Размер компании;2017, Среднесписочная численность работников;2018, Среднесписочная численность работников;2019, Среднесписочная численность работников;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;Мои списки;2017, Выручка, RUB;2018, Выручка, RUB;2019, Выручка, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2017, Прибыль (убыток) до налогообложения , RUB;2018, Прибыль (убыток) до налогообложения , RUB;2019, Прибыль (убыток) до налогообложения , RUB;2020, Прибыль (убыток) до налогообложения , RUB;2021, Прибыль (убыток) до налогообложения , RUB
394;МИЕЛЕ, ООО;1155249006164;MIELE, OOO;"ООО ""МИЕЛЕ""";23.10.2015;7,0;5249143648;Аренда и лизинг прочих машин и оборудования, не включенных в другие группировки;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;;;;;1;"""left""";16 260 000;17 460 000;17 460 000;13 440 000;12 960 000;6 361 000;5 867 000;10 615 000;5 713 000;3 981 000
395;МИКРОКРЕДИТНАЯ КОМПАНИЯ КОВЕНТ-ГАРДЕН, ООО;5177746167143;MIKROKREDITNAYA KOMPANIYA KOVENT-GARDEN, OOO;"ООО ""МИКРОКРЕДИТНАЯ КОМПАНИЯ КОВЕНТ-ГАРДЕН""";07.11.2017;5,0;7728385341;Деятельность микрофинансовая;Общества с ограниченной ответственностью;Частная собственность;;;1;;;;"""left""";;;;;;;;;;
396;МИЛФОРД, ООО;1157746651182;MILFORD, OOO;"ООО ""МИЛФОРД""";23.12.1992;30,0;7728290869;Производство чая и кофе;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;14;16;18;23;18;"""left""";281 191 000;350 016 000;325 894 000;348 863 000;359 255 000;-2 862 000;1 666 000;22 657 000;-28 792 000;5 027 000
397;МИЛЬФЛЁР, ООО АРТБЮРО;1087746154891;MILFLER, OOO ARTBYURO;"ООО АРТБЮРО ""МИЛЬФЛЁР""";01.02.2008;15,0;7715685690;Издание книг;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;3;2;2;2;2;"""left""";3 310 000;1 383 000;2 516 000;1 624 000;3 856 000;1 610 000;1 011 000;1 692 000;564 000;2 404 000
398;МИЦУБИСИ МОТОРС РУС, ООО;1077763326838;MITSUBISI MOTORS RUS, OOO;"ООО ""МИЦУБИСИ МОТОРС РУС""";03.12.2007;15,0;7710698978;Производство автотранспортных средств;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;12;;;;;"""left""";17 398 106 000;43 407 449 000;47 807 500 000;22 068 001 000;33 052 383 000;1 823 007 000;4 239 402 000;4 287 661 000;524 811 000;1 538 120 000
399;МИЦУБИСИ ЭЛЕКТРИК (РУС), ООО;1147746707778;MITSUBISI ELEKTRIK (RUS), OOO;"ООО ""МИЦУБИСИ ЭЛЕКТРИК (РУС)""";23.06.2014;8,5;7705515114;Торговля оптовая прочими машинами и оборудованием;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;96;97;108;118;122;"""РОБОТОТЕХНИКА"", ""left"", ""ИНН робо""";4 302 439 000;5 470 501 000;5 565 581 000;6 325 522 000;7 484 626 000;483 454 000;517 897 000;417 063 000;690 470 000;671 254 000
400;МИШЛЕН, ООО;1025007456583;MICHELIN RUSSAIN TYRE MANUFACTURING COMPANY, LLC;"ООО ""МИШЛЕН""";14.02.2001;22,0;5073007462;"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек";Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;1 001 - 5 000;;;;"""Сервисы"", ""left""";23 559 118 000;26 120 544 000;27 057 669 000;27 178 988 000;39 295 586 000;-1 455 690 000;-547 393 000;-497 102 000;-7 257 000;1 002 916 000
401;МЛБЛ, АССОЦИАЦИЯ;1137799016277;MLBL, ASSOTSIATSIYA;"АССОЦИАЦИЯ ""МЛБЛ""";30.08.2013;9,5;7704281343;Деятельность в области спорта прочая;Объединения юридических лиц;Иная смешанная российская собственность;Микропредприятия;;;;;;"""left""";;;;2 824 000;4 320 000;;;;120 000;227 000
402;МЛК, ООО;1222600008531;WWE LOGISTICS, LLC;"ООО ""МЛК""";22.07.2022;0,5;2632120183;Деятельность автомобильного грузового транспорта;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;;"""left""";;;;;;;;;;
403;МОДУЛАР, ООО;1085003005141;MODULAR, LLC;"ООО ""МОДУЛАР""";12.08.2008;14,5;5003082890;Аренда и лизинг строительных машин и оборудования;Общества с ограниченной ответственностью;Частная собственность;Малые предприятия;22;22;23;23;22;"""left""";322 449 000;400 302 000;401 003 000;363 325 000;494 678 000;-89 740 000;-111 658 000;44 321 000;-126 080 000;-8 335 000
404;МОН ДЭЛИС РУСЬ, ООО;1053300622407;MON DELIS RUS, OOO;"ООО ""МОН'ДЭЛИС РУСЬ""";16.05.1996;26,5;3321020710;Производство шоколада и сахаристых кондитерских изделий;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;1 001 - 5 000;1 001 - 5 000;;;;"""Сервисы"", ""left""";43 145 607 000;48 860 671 000;53 685 439 000;59 435 315 000;66 827 982 000;5 091 915 000;5 942 206 000;6 811 210 000;8 162 808 000;7 773 864 000
405;МОНДИ АРАМИЛЬ, ООО;1186658031780;MONDI ARAMIL, OOO;"ООО ""МОНДИ АРАМИЛЬ""";03.12.2009;13,0;6685148334;Производство пластмассовых изделий для упаковывания товаров;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Крупные предприятия;265;258;269;286;281;"""Для ЛС"", ""left"", ""Сервисы"", ""для ЛС по сделкам""";2 596 932 000;2 720 107 000;2 693 770 000;3 136 573 000;3 725 486 000;-11 607 000;-216 198 000;-17 143 000;-12 691 000;-30 393 000
406;МОНКИ, ООО;1195476091381;MONKI, OOO;"ООО ""МОНКИ""";23.12.2019;3,0;5408026100;Торговля розничная обувью и изделиями из кожи в специализированных магазинах;Общества с ограниченной ответственностью;Частная собственность;Микропредприятия;;;;;8;"""left""";;;;;118 696 000;;;;-4 000;15 366 000
407;МОНКЛЕР РУС, ООО;1137746735609;MONKLER RUS, OOO;"ООО ""МОНКЛЕР РУС""";16.08.2013;9,5;7743897707;Торговля розничная одеждой в специализированных магазинах;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;9;14;15;13;12;"""left""";122 911 000;298 753 000;285 402 000;216 723 000;226 295 000;-318 730 000;-120 969 000;-56 133 000;-140 457 000;4 670 000
408;МОСТОТРЕСТ, ПАО;1027739167246;MOSTOTREST, PAO;"ПАО ""МОСТОТРЕСТ""";23.12.1992;30,0;7701045732;Строительство автомобильных дорог и автомагистралей;Публичные акционерные общества;Совместная частная и иностранная собственность;Крупные предприятия;> 5 000;17 969;15 823;15 823;;"""Для ЛС"", ""left"", ""для гендерноо"", ""для див +ген"", ""для ЛС по сделкам""";147 840 860 000;133 320 537 000;77 298 245 000;65 737 990 000;;11 545 826 000;3 607 238 000;1 780 341 000;635 846 000;
409;МОТОРОЛА СОЛЮШНЗ, АО;1037700039035;MOTOROLA SOLYUSHNZ, AO;"АО ""МОТОРОЛА СОЛЮШНЗ""";27.05.1994;28,5;7728038242;Разработка компьютерного программного обеспечения;Непубличные акционерные общества;Собственность иностранных юридических лиц;Микропредприятия;27;27;27;26;28;"""left""";342 110 000;328 830 000;260 802 000;232 634 000;249 988 000;-42 716 000;28 992 000;-6 604 000;39 493 000;-16 823 000
410;МОТТ МАКДОНАЛЬД Р, ООО;1077758264165;MOTT MAKDONALD R, OOO;"ООО ""МОТТ МАКДОНАЛЬД Р""";24.07.2007;15,5;7706664782;Деятельность вспомогательная в сфере финансовых услуг, кроме страхования и пенсионного обеспечения;Общества с ограниченной ответственностью;Собственность иностранных юридических лиц;Микропредприятия;34;8;5;5;4;"""left""";91 930 000;50 573 000;28 077 000;18 636 000;19 281 000;-35 859 000;8 008 000;-16 000;-3 780 000;-5 437 000
